old_id	new_id	new_id.scientific_name
NCBI:txid1000	NCBI:txid107401	Tenacibaculum maritimum
NCBI:txid100031	NCBI:txid2153283	Lentistoma bipolare
NCBI:txid1000424	NCBI:txid52477	Peucedanum ostruthium
NCBI:txid1000431	NCBI:txid97029	Trifolium ochroleucon
NCBI:txid100054	NCBI:txid155906	Pestivirus Reindeer-1
NCBI:txid1000563	NCBI:txid1277936	Mesophyllum sphaericum
NCBI:txid1000585	NCBI:txid1980481	Montano orthohantavirus
NCBI:txid1001033	NCBI:txid1150297	Agaricus megalosporus
NCBI:txid1001040	NCBI:txid1326964	Agaricus chiangmaiensis
NCBI:txid1001041	NCBI:txid1326965	Agaricus megacystidiatus
NCBI:txid1001055	NCBI:txid71897	Marasmiellus ramealis
NCBI:txid1001065	NCBI:txid130139	Mammillaria
NCBI:txid1001066	NCBI:txid278571	Mammillaria pondii
NCBI:txid1001067	NCBI:txid130167	Sclerocactus
NCBI:txid1001076	NCBI:txid171972	Stenocereus
NCBI:txid1001089	NCBI:txid130151	Mammillaria poselgeri
NCBI:txid1001095	NCBI:txid267727	Echinopsis formosa
NCBI:txid1001098	NCBI:txid432480	[Echinopsis] atacamensis subsp. pasacana
NCBI:txid1001126	NCBI:txid432466	Weingartia arenacea
NCBI:txid1001171	NCBI:txid1001742	Parasterkiella thompsoni
NCBI:txid1001241	NCBI:txid1001240	Cryobacterium roopkundense
NCBI:txid1001242	NCBI:txid1001240	Cryobacterium roopkundense
NCBI:txid1001243	NCBI:txid1001244	Arafuramiris queenslandensis
NCBI:txid1001262	NCBI:txid63601	Pharyngomonas kirbyi
NCBI:txid1001263	NCBI:txid2169841	Cotton leaf curl Lucknow alphasatellite
NCBI:txid1001327	NCBI:txid1738547	Subramaniula asteroides
NCBI:txid1001329	NCBI:txid1050265	Phylloporia minutispora
NCBI:txid1001347	NCBI:txid1130791	Microzoanthus kagerou
NCBI:txid1001348	NCBI:txid1130792	Microzoanthus occultus
NCBI:txid1001381	NCBI:txid858893	Exophiala dermatitidis NIH/UT8656
NCBI:txid100142	NCBI:txid3926	Philenoptera violacea
NCBI:txid100144	NCBI:txid54458	Dalbergiella nyasae
NCBI:txid100155	NCBI:txid62121	Millettia richardiana
NCBI:txid1001584	NCBI:txid948565	Avibacterium paragallinarum 72
NCBI:txid1001604	NCBI:txid2686024	Rotosphaerida
NCBI:txid1001607	NCBI:txid859144	Cytobacillus gottheilii
NCBI:txid100162	NCBI:txid56063	Derris elliptica
NCBI:txid1001626	NCBI:txid389304	Bufotes turanensis
NCBI:txid1001632	NCBI:txid757029	Crithidia insperata
NCBI:txid1001647	NCBI:txid1405387	Cercopithifilaria bainae
NCBI:txid100166	NCBI:txid104316	Poecilanthe parviflora
NCBI:txid1001689	NCBI:txid986261	Neopolystoma sp. 3 OV-2011
NCBI:txid1001695	NCBI:txid290622	Trichocladium achrasporum
NCBI:txid1001859	NCBI:txid72144	Remersonia thermophila
NCBI:txid1001911	NCBI:txid1707807	Canis lupaster
NCBI:txid1001930	NCBI:txid1772095	Yaoshania pachychilus
NCBI:txid1001962	NCBI:txid1916785	Sicyopus zosterophorus
NCBI:txid1001984	NCBI:txid2838851	Ancylonema alaskanum
NCBI:txid1002168	NCBI:txid1240222	Erysiphe monoperidiata
NCBI:txid1002169	NCBI:txid1240222	Erysiphe monoperidiata
NCBI:txid1002170	NCBI:txid1240222	Erysiphe monoperidiata
NCBI:txid1002171	NCBI:txid1240222	Erysiphe monoperidiata
NCBI:txid1002172	NCBI:txid1240222	Erysiphe monoperidiata
NCBI:txid1002173	NCBI:txid1240222	Erysiphe monoperidiata
NCBI:txid1002174	NCBI:txid1240221	Erysiphe asiatica
NCBI:txid1002175	NCBI:txid1240221	Erysiphe asiatica
NCBI:txid100218	NCBI:txid84739	European catfish virus
NCBI:txid1002189	NCBI:txid246416	Limnonectes cf. magnus BJE-2003
NCBI:txid1002190	NCBI:txid246429	Limnonectes sp. 1 BJE-2003
NCBI:txid1002191	NCBI:txid246425	Limnonectes sp. 2 BJE-2003
NCBI:txid1002192	NCBI:txid246424	Limnonectes sp. D BJE-2003
NCBI:txid1002194	NCBI:txid246420	Limnonectes sp. I BJE-2003
NCBI:txid1002197	NCBI:txid246428	Limnonectes sp. T BJE-2003
NCBI:txid1002198	NCBI:txid246423	Limnonectes larvaepartus
NCBI:txid100223	NCBI:txid75566	Lophocebus aterrimus
NCBI:txid100232	NCBI:txid9906	Bos javanicus
NCBI:txid10024	NCBI:txid33553	Sciuromorpha
NCBI:txid1002503	NCBI:txid696197	Dicrotendipes nervosus
NCBI:txid1002524	NCBI:txid2747791	Elatostema radicans
NCBI:txid1002690	NCBI:txid1002689	Occallatibacter riparius
NCBI:txid10027	NCBI:txid36483	Cricetinae gen. sp.
NCBI:txid1002786	NCBI:txid61435	Dehalococcoides mccartyi
NCBI:txid1002815	NCBI:txid1002820	Anabaena sp. LCRNK_18
NCBI:txid1002817	NCBI:txid655002	Anabaena sp. LCRNK22
NCBI:txid1002818	NCBI:txid1002821	Anabaena sp. LCRNK_23
NCBI:txid1002819	NCBI:txid1002824	Anabaena sp. LCRNK_4
NCBI:txid1002836	NCBI:txid1002850	Nostoc sp. LCRNK_10
NCBI:txid1002837	NCBI:txid1002851	Nostoc sp. LCRNK_11
NCBI:txid1002908	NCBI:txid490709	Ogataea saltuana
NCBI:txid1002965	NCBI:txid1003115	Udea costalis maurinalis
NCBI:txid1002994	NCBI:txid1003000	Udea nordmanni
NCBI:txid1002998	NCBI:txid121624	Phyllosticta capitalensis
NCBI:txid1002999	NCBI:txid1003116	Udea delineatalis
NCBI:txid100301	NCBI:txid502442	Carex ludwigii
NCBI:txid1003011	NCBI:txid1003012	Achnanthidium coarctatum
NCBI:txid1003014	NCBI:txid1003015	Amphitetras antediluviana
NCBI:txid1003017	NCBI:txid1003018	Synedra fulgens
NCBI:txid1003043	NCBI:txid426639	Diatoma tenuis
NCBI:txid1003072	NCBI:txid420271	Lithodesmiales
NCBI:txid1003133	NCBI:txid1003135	Fragilaria famelica
NCBI:txid1003142	NCBI:txid2749911	Pseudictyota dubia
NCBI:txid1003167	NCBI:txid2653961	Rhizoplaca arbuscula
NCBI:txid1003431	NCBI:txid1567524	Pattonomys semivillosus
NCBI:txid1003725	NCBI:txid906897	Dipturus pullopunctatus
NCBI:txid1003731	NCBI:txid624848	Gerres longirostris
NCBI:txid1003733	NCBI:txid205127	Glossogobius giuris
NCBI:txid1003747	NCBI:txid912805	Johnius amblycephalus
NCBI:txid1003769	NCBI:txid1003770	Pagellus natalensis
NCBI:txid1003858	NCBI:txid510951	Neurospora tetrasperma FGSC 2508
NCBI:txid100386	NCBI:txid99840	Spermophilus erythrogenys
NCBI:txid100387	NCBI:txid99856	Spermophilus relictus
